HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
50.0,1.834,0.0,19.58,1,0.605,7.802,98.2,2.041,5,403,14.7,389.609,1.92
17.1,0.05,35.0,6.06,0,0.438,5.706,28.4,6.641,1,304,16.9,394.02,12.43
37.9,0.091,0.0,2.46,0,0.488,7.155,92.2,2.701,3,193,17.8,394.119,4.82
35.2,0.222,20.0,6.96,1,0.464,7.691,51.8,4.366,3,223,18.6,390.77,6.58
50.0,9.232,0.0,18.1,0,0.631,6.216,100.0,1.169,24,666,20.2,366.148,9.53
9.5,9.339,0.0,18.1,0,0.679,6.38,95.6,1.968,24,666,20.2,60.72,24.08
5.0,38.352,0.0,18.1,0,0.693,5.453,100.0,1.49,24,666,20.2,396.898,30.59
13.4,3.321,0.0,19.58,1,0.871,5.403,100.0,1.322,5,403,14.7,396.898,26.82
7.5,10.834,0.0,18.1,0,0.679,6.782,90.8,1.819,24,666,20.2,21.57,25.79
23.9,0.051,0.0,4.49,0,0.449,6.389,48.0,4.779,3,247,18.5,396.898,9.62
23.8,1.8,0.0,19.58,0,0.605,5.877,79.2,2.426,5,403,14.7,227.609,12.14
22.2,0.11,25.0,5.13,0,0.453,6.456,67.8,7.225,8,284,19.7,396.898,6.73
12.1,9.596,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,376.109,20.31
18.4,0.773,0.0,8.14,0,0.538,6.495,94.4,4.455,4,307,21.0,387.939,12.8
31.7,0.463,0.0,6.2,0,0.504,7.412,76.9,3.671,8,307,17.4,376.139,5.25
19.5,0.133,0.0,8.56,0,0.52,5.851,96.7,2.107,5,384,20.9,394.049,16.47
30.1,0.657,20.0,3.97,0,0.647,6.842,100.0,2.011,5,264,13.0,391.93,6.9
24.2,0.088,0.0,10.81,0,0.413,6.417,6.6,5.287,4,305,19.2,383.729,6.72
13.0,7.526,0.0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,304.209,19.31
14.2,7.023,0.0,18.1,0,0.718,6.006,95.3,1.875,24,666,20.2,319.979,15.7
25.1,0.521,0.0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,388.449,9.54
23.9,0.083,0.0,13.92,0,0.437,6.127,18.4,5.503,4,289,16.0,396.898,8.58
42.3,0.022,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.379,3.11
19.9,0.627,0.0,8.14,0,0.538,5.834,56.5,4.499,4,307,21.0,395.619,8.47
25.0,2.924,0.0,19.58,0,0.605,6.101,93.0,2.283,5,403,14.7,240.159,9.81
23.8,2.3,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1
15.0,19.609,0.0,18.1,0,0.671,7.313,97.9,1.316,24,666,20.2,396.898,13.44
36.0,0.664,20.0,3.97,0,0.647,7.333,100.0,1.895,5,264,13.0,383.289,7.79
20.1,0.14,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384,20.9,392.689,12.33
