rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.100512,-0.431046,0.194672,-0.301056,-0.137607,2.911988,2.611893,0.962999,8
0.065054,0.15419,0.396655,0.26844,-0.329644,2.28701,1.379911,0.496352,6
0.104612,-0.180689,-0.063278,0.398182,-0.362946,0.241358,4.328574,0.87591,8
0.116055,-0.384502,0.000759,-0.341659,-0.045607,6.388564,0.38541,0.612696,6
0.416,0.373758,-0.135663,0.103328,0.010316,11.580586,0.696825,0.670965,5
0.241715,0.417124,-0.018147,0.471461,-0.09918,5.302439,2.730096,0.572676,6
0.142182,0.027916,-0.356733,-0.398832,-0.090183,0.035927,4.280555,0.902974,6
0.139884,-0.029365,0.252923,0.480408,0.304945,4.5484,1.544914,0.131657,7
0.232676,0.267118,-0.023191,-0.141376,-0.331201,6.493293,0.82535,0.491249,6
0.016591,-0.123332,0.276133,-0.080752,-0.070178,0.125105,0.962858,0.283948,5
0.067376,0.452619,0.06761,0.18448,0.453785,2.328188,2.075953,0.672557,7
0.150936,0.42964,-0.391899,-0.396522,0.482007,0.773983,2.716745,0.568916,5
0.010165,0.142378,-0.419813,0.210067,0.120652,1.518401,0.569696,0.56992,6
0.110265,0.209235,-0.329839,-0.36867,-0.413025,1.95175,2.252679,0.565265,5
0.174043,-0.005013,0.324088,0.094808,0.216307,7.0653,0.316024,0.361184,6
0.036941,0.485267,-0.068693,-0.169698,0.381133,0.847171,0.828574,0.394355,6
0.069612,-0.335169,-0.428984,0.060117,-0.417514,0.734704,3.530695,0.477219,7
0.096633,-0.302229,-0.167702,-0.243297,0.274412,2.442634,1.833029,0.624295,7
0.078867,-0.277166,0.445727,0.189993,-0.221764,1.38019,2.855726,0.772226,8
0.33858,0.000851,0.276265,-0.491883,-0.196673,8.866034,0.856013,0.916496,5
0.044647,0.192247,0.243089,-0.302627,-0.238656,1.315556,1.772202,0.686362,7
0.17476,-0.206789,-0.46999,0.034462,-0.292163,5.521043,2.102765,0.728193,8
0.33527,0.120937,0.423895,0.463529,-0.199544,2.792652,6.772443,0.455967,6
0.326912,0.104331,-0.04188,-0.271389,-0.353779,1.21888,7.914449,0.79671,6
0.011806,-0.157957,-0.344176,0.250868,0.390391,2.287953,0.2291,0.753048,7
0.15748,-0.011608,0.227484,-0.132877,-0.212732,4.13879,2.189343,0.708078,6
0.006522,-0.001186,-0.377987,0.434535,0.040272,1.178794,0.226558,0.806521,6
0.296607,-0.004862,0.116704,-0.42083,-0.2238,9.241599,0.316407,0.778197,7
0.034123,0.070069,-0.3626,-0.271123,-0.354884,2.597778,1.538765,0.880075,8
0.105839,-0.177747,0.109048,0.057278,-0.055863,2.96011,2.17548,0.883803,6
0.030145,-0.288948,0.127769,-0.048828,0.101178,0.849213,1.49323,0.329464,6
0.076292,0.004336,-0.119819,0.17808,0.253482,1.763668,2.057541,0.616136,6
0.01648,-0.365975,0.049535,0.226289,-0.257999,0.837315,1.349487,0.68845,6
0.114141,0.357668,-0.128979,-0.123856,-0.045207,1.138445,4.692874,0.731539,6
0.677218,-0.253727,-0.1721,0.350392,0.471406,18.340456,3.759561,0.213214,7
0.334408,-0.463957,-0.010651,-0.479027,0.417506,2.205187,9.085602,0.735922,7
0.130935,-0.115755,-0.166131,-0.17698,0.279793,4.669722,1.210591,0.897396,7
0.139066,-0.497734,0.220322,0.364681,0.022738,3.233371,3.045552,0.635994,5
0.445356,0.122236,-0.093647,-0.248002,0.256822,12.649903,1.805576,0.407045,7
0.04307,-0.272212,0.417478,0.270002,-0.196699,2.711264,1.396444,0.555166,6
0.054243,-0.078863,-0.336297,0.036216,0.054711,1.247593,2.332311,0.446974,8
0.159307,-0.296144,-0.352622,-0.356833,0.261217,2.107543,3.231294,0.650478,8
0.20202,0.238778,0.082451,0.200621,0.010344,1.480799,4.906079,0.481495,6
0.205179,0.251351,0.188088,-0.444955,0.260213,2.752241,2.012602,0.407148,7
0.059724,0.161596,0.436326,0.284587,0.468194,3.004589,1.636438,0.632659,7
0.154961,0.452439,0.36483,0.371551,-0.262627,0.418169,6.158469,0.84792,5
0.120275,-0.077885,0.200983,0.112429,0.233165,1.033857,3.466426,0.359579,7
0.100096,-0.460623,-0.371767,0.129159,-0.262298,5.206774,0.947015,0.857224,7
0.04877,-0.251513,-0.147119,-0.149858,-0.096396,2.691748,0.77439,0.828438,6
0.20431,0.497152,-0.078135,-0.330877,-0.331327,2.557028,3.811537,0.613371,7
0.005702,-0.437253,0.173936,0.191538,0.489026,1.103195,0.507826,0.86472,6
0.000876,-0.307343,-0.422126,-0.447474,-0.153311,0.711672,0.342415,0.919032,8
0.303556,-0.326131,-0.328798,0.137101,-0.071327,3.547496,5.3167,0.409154,7
0.04772,-0.074448,-0.455529,-0.018142,-0.304014,1.855838,1.94511,0.962137,6
0.345462,-0.157162,-0.348277,0.292048,0.378028,0.782917,8.023945,0.444752,5
0.183847,0.029984,-0.055857,0.153082,0.186744,2.679733,4.714603,0.683395,7
0.346789,0.417903,0.038233,0.470347,-0.100988,7.283101,5.593353,0.932234,6
0.016748,0.302925,-0.17431,-0.094721,-0.015987,0.080151,1.45768,0.535158,5
0.685778,-0.364999,-0.311554,-0.497234,0.125994,18.012384,7.117516,0.380082,7
0.135953,0.235634,0.325625,0.468141,-0.470604,3.156103,1.889496,0.789727,5
0.055198,-0.311071,-0.485251,0.107347,-0.341546,2.403318,1.303896,0.691404,5
0.092797,0.031591,-0.440194,-0.184965,-0.083541,0.857473,2.475853,0.369515,6
0.004622,-0.39824,0.131413,0.288443,0.02094,0.723639,1.438804,0.709215,8
