rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.235519,-0.007462,0.258553,0.263802,-0.459599,7.814622,0.093065,0.672723,7
0.065054,0.15419,0.396655,0.26844,-0.329644,2.28701,1.379911,0.496352,6
0.116055,-0.384502,0.000759,-0.341659,-0.045607,6.388564,0.38541,0.612696,6
0.033929,0.281517,0.322079,-0.44666,0.476027,0.882035,1.155783,0.817748,8
0.24618,0.2152,-0.25612,0.07878,-0.380302,5.353782,1.352043,0.647675,5
0.251643,-0.49261,-0.004118,-0.265692,0.249177,2.512063,6.041966,0.706374,8
0.067376,0.452619,0.06761,0.18448,0.453785,2.328188,2.075953,0.672557,7
0.174043,-0.005013,0.324088,0.094808,0.216307,7.0653,0.316024,0.361184,6
0.069612,-0.335169,-0.428984,0.060117,-0.417514,0.734704,3.530695,0.477219,7
0.078867,-0.277166,0.445727,0.189993,-0.221764,1.38019,2.855726,0.772226,8
0.33527,0.120937,0.423895,0.463529,-0.199544,2.792652,6.772443,0.455967,6
0.468142,-0.000703,-0.155571,0.422646,-0.384488,7.026957,7.285415,0.764001,8
0.030145,-0.288948,0.127769,-0.048828,0.101178,0.849213,1.49323,0.329464,6
0.277826,-0.470145,-0.107953,-0.467942,-0.491758,1.070487,7.57349,0.745367,6
0.23986,0.03672,-0.085262,-0.205803,-0.264759,2.289902,5.320609,0.788631,5
0.445356,0.122236,-0.093647,-0.248002,0.256822,12.649903,1.805576,0.407045,7
0.65418,-0.166472,-0.113004,-0.290916,0.348203,5.939714,21.030219,0.871732,6
0.205179,0.251351,0.188088,-0.444955,0.260213,2.752241,2.012602,0.407148,7
0.194669,0.106148,0.234014,-0.438851,0.02515,3.965717,2.757508,0.668857,7
0.120275,-0.077885,0.200983,0.112429,0.233165,1.033857,3.466426,0.359579,7
0.121403,0.176844,-0.211754,0.032176,0.23412,2.790541,1.948406,0.616645,6
0.000876,-0.307343,-0.422126,-0.447474,-0.153311,0.711672,0.342415,0.919032,8
0.04772,-0.074448,-0.455529,-0.018142,-0.304014,1.855838,1.94511,0.962137,6
0.021429,-0.317472,0.004382,0.465628,-0.000117,2.041988,0.115782,0.818921,5
0.135953,0.235634,0.325625,0.468141,-0.470604,3.156103,1.889496,0.789727,5
0.092797,0.031591,-0.440194,-0.184965,-0.083541,0.857473,2.475853,0.369515,6
0.004622,-0.39824,0.131413,0.288443,0.02094,0.723639,1.438804,0.709215,8
0.071086,-0.210489,0.418443,-0.30985,0.437108,0.559565,3.580103,0.876149,6
0.238734,-0.094119,-0.426081,-0.122099,0.091038,4.870542,3.201716,0.781855,8
