Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
8,M,0.40010207210264875,0.3201070878018318,0.11004220549294479,0.3535209045338121,0.14058178189469894,0.09848915976210802,0.1000991542464035
7,M,0.4000061856778768,0.32003401216269006,0.1100041259258159,0.3527386948909643,0.14054659837831548,0.0983900795188045,0.09999262111499534
7,I,0.4000061803306194,0.32002409153753725,0.10996258870340972,0.35328321695024983,0.1403564335422312,0.09850756402874532,0.09989990386587892
8,I,0.39981498068002874,0.3200720523312262,0.10994054264672222,0.3531077908240751,0.14020079192886603,0.09845811975117587,0.10006946853845153
7,M,0.39976284389212025,0.31992614114875345,0.10999660169669928,0.35336396551373545,0.14049492605960734,0.09862993017890397,0.09996683290344092
7,M,0.3999501261660051,0.3199167647233634,0.10995108592586245,0.35313087380819685,0.14054912076706788,0.09851875707896156,0.09992758088576334
7,M,0.39991716565487817,0.31990067811974054,0.1099582489545591,0.3533237462873836,0.1402922814112875,0.09862949931366635,0.1002699604978861
8,I,0.40006953891260616,0.32490846981548127,0.12006705293447802,0.3187586861362192,0.13417057051501735,0.05629598018779617,0.09499659127081667
8,F,0.3999468488490292,0.3251472248631911,0.11999556864167688,0.318631350793181,0.133929201633508,0.056448048922090426,0.09475877380985331
7,F,0.3999794611608039,0.32486822213730565,0.11991186253383766,0.31910047420605914,0.13407486709423386,0.05631162591819167,0.09502873898818377
8,F,0.40865602932955497,0.3266242067903337,0.12145111443250015,0.31988502232588834,0.13573290969845145,0.07064095166221734,0.09762101580091008
8,F,0.3996791888514484,0.3249265855807243,0.11994618111108614,0.31817493002757746,0.13395255983848203,0.0565204603139966,0.09528163185227552
7,F,0.3999796562430706,0.3249926933194613,0.11993393418492894,0.31843616473366554,0.13401607938188934,0.05653936986756994,0.09505325846209844
7,M,0.39964728646277253,0.32514926863317256,0.1199370974720996,0.31901842133743,0.13414672715341489,0.056512195107541366,0.0949842805004458
8,M,0.41479881585986406,0.3051312311300262,0.13003285184523283,0.31983561614047484,0.13047643448613064,0.07543559793338496,0.10510980960492237
7,M,0.41483248005675916,0.3050373997526628,0.13002636021045655,0.3206291544464448,0.13060508682067343,0.07562115874000663,0.10491633060163869
8,F,0.4149421883551806,0.305054963493804,0.1299953249685318,0.3201880354457518,0.13046367065874415,0.07527616155365834,0.10491499925871162
8,F,0.42823134884220543,0.3234687102242117,0.13646699953923377,0.3210836748282955,0.13233459511435527,0.08108559417868684,0.11244025621449061
8,F,0.4151053568945121,0.3049933146524398,0.13000474018693575,0.31978567476512804,0.13044680360972152,0.07541149830911312,0.10501644135269762
7,F,0.41516862939027227,0.30496359993442,0.12998902063679765,0.3198713700544598,0.1304656697630047,0.07553076532254627,0.10501424448716253
8,F,0.41491031540487394,0.3049336603098408,0.1299664031871617,0.3198017470699006,0.13042675841068432,0.07556657952021317,0.10503707628202971
7,F,0.4249874189178193,0.32996778336672944,0.11499552311524641,0.40629843234058394,0.1635929715807743,0.08100312836122718,0.13560677315043704
7,M,0.4252191814731229,0.3300430420725154,0.1149845979319471,0.405853465044631,0.1635934802284464,0.08096990539110006,0.13549910854928435
7,M,0.42509602496672444,0.3300072722802273,0.11502756557937702,0.40582172517079607,0.1635802852337684,0.08108433212929037,0.13547211258024652
7,I,0.4249931995135089,0.3299853392266508,0.1149889857045992,0.40603081207466024,0.16353979312482592,0.08098962675629634,0.13541479736019804
8,F,0.42498127442909067,0.3299652626277085,0.11497986026460491,0.4060725467519918,0.16367528216387298,0.08100471102916894,0.1354874567341879
8,I,0.4249936712698696,0.32998481806736335,0.11499708073054993,0.40588558801913577,0.16341596494807714,0.08088953703195102,0.13567327839327156
8,F,0.42492747465318303,0.32995490594461463,0.11499867399607386,0.4057415462526512,0.16346624285998052,0.08103697618314638,0.13554150390718803
7,I,0.4501827053036767,0.3550731613813459,0.10499685205372568,0.5228016612582082,0.23675879448229417,0.11657067693358594,0.14491117475729223
7,M,0.450110797987361,0.3549628425232286,0.1049476942712137,0.5221410364458743,0.23708729368549702,0.11635595015378339,0.14492546475314222
7,F,0.44993383549791577,0.35507520234760936,0.10499661796632583,0.5225811938105077,0.23699068694628875,0.11662179952468843,0.1450063373200127
7,F,0.450053270064802,0.35491287580403147,0.10498674314894448,0.5235528773398548,0.23710800134601437,0.11643900847900789,0.14486546752028243
7,F,0.4499940798169285,0.3549929935859758,0.10498783671591877,0.5226203185535196,0.23703105231456237,0.11645841354416815,0.1448958731402274
7,M,0.44995380843552146,0.3550458989848743,0.10497752213587082,0.5229053044584309,0.2368352175032469,0.1164607796632667,0.14506619241935065
7,M,0.45010884573732124,0.3550503747350559,0.10497791349709151,0.5218106589520544,0.237139546803063,0.11662175643173697,0.14501679972655174
8,M,0.4598579386216511,0.4247838746649406,0.1551100606710864,0.7451118575579269,0.3001679815410537,0.1517974415132861,0.2396476259637626
8,F,0.4596423851623069,0.4254377118231738,0.15488785478419456,0.7459998176846665,0.30046455282086615,0.15205158283779086,0.2393298128054388
8,M,0.4599244605909283,0.42475073401842883,0.1552531262373394,0.7460692269738278,0.3007789935255596,0.15202146747219453,0.24031299217708973
8,F,0.4598388090327214,0.4251696870925936,0.15513423816571986,0.7459924139675831,0.3004627678969842,0.15223862572745847,0.23988918515732538
