heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
27.55,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.0,4200
82.38,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,15.0,3000
55.34,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,20.0,1000
22.63,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,8.5,1500
6.62,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,3.5,100
57.26,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,15.0,3000
2.16,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.5,1000
6.24,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.5,2000
24.88,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,13.5,100
24.54,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,4.0,2500
65.88,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,17.0,2000
54.71,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,14.5,1000
34.4,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,4.0,4000
101.22,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,19.5,4200
105.18,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,16.5,3000
13.22,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.5,2000
13.21,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,6.0,1000
22.09,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,18.0,2000
39.68,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,5.5,4000
17.0,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,5.5,100
6.71,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.5,1500
83.75,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,15.5,4000
3.88,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,2000
49.88,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,8.0,2500
60.26,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,4.5,4000
49.21,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,19.0,2500
57.3,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,11.5,3000
28.04,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,7.0,2500
14.31,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,10.0,2500
28.39,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,6.0,2000
93.03,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,11.0,4000
101.98,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,16.0,4500
6.99,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,3.5,1000
29.44,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,14.5,100
56.46,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,7.5,3500
132.93,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,13.0,5000
4.82,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.0,2000
109.84,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,13.5,5000
127.78,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,18.5,5000
18.64,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,6.5,1000
9.69,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,4.0,1500
54.34,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,10.5,3500
28.99,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,8.5,1500
28.88,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,2.0,3500
36.36,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,9.5,2000
113.6,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,12.0,4500
157.92,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,19.5,5000
11.38,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,1.0,2500
83.06,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,15.5,2500
46.35,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,11.5,3000
14.34,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.0,3500
57.87,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,11.0,4500
34.26,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,3.5,3500
75.32,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,10.5,4500
76.31,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,8.0,5000
