heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
27.27,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,6.0,3000
12.46,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,4.0,2000
32.1,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,15.5,100
85.49,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,6.0,5000
78.86,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,5.0,5000
20.22,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,9.5,100
3.05,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.5,1000
15.83,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,5.5,2000
33.2,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,16.0,100
41.26,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,3.5,5000
94.79,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,17.0,4500
24.45,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,7.5,1500
18.13,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,5.0,2500
128.84,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,11.5,5000
20.93,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,11.5,2000
140.1,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,16.5,4500
101.87,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,8.0,5000
25.37,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,5.0,3000
4.79,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.5,1000
40.11,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,12.5,2500
15.74,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,8.5,2000
44.43,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,11.5,3000
108.18,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,17.0,4500
30.18,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,14.5,2000
29.58,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,10.5,2000
25.91,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,10.5,1000
19.82,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,11.5,100
21.79,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.0,3500
86.39,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,9.5,4500
52.4,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,5.0,4000
11.27,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,11.0,1500
22.26,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,15.5,2500
42.51,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,1.0,4500
89.81,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,11.5,5000
20.0,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,12.5,1500
70.3,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,5.5,5000
40.55,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,16.5,1500
6.54,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,3.0,1000
32.56,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,15.5,2000
74.25,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,9.0,4000
54.92,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,10.0,3000
34.7,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,8.5,3000
34.43,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.5,5000
56.44,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,8.0,4000
20.98,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.5,4200
90.98,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,11.5,4500
10.83,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,6.0,1500
8.89,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.0,3000
44.96,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,6.0,4200
54.82,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,8.5,5000
31.51,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,9.5,1500
2.37,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.0,1000
5.32,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.0,2000
13.75,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,11.5,2000
2.34,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,1000
133.25,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,12.5,5000
51.5,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,11.0,3500
62.28,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,16.5,1000
16.35,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,2.5,2500
9.61,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.0,2500
47.21,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,7.5,4000
25.46,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,0.0,3500
25.61,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.5,3000
12.36,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.5,3000
89.42,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,13.5,4000
140.9,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,11.5,5000
49.08,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,13.0,1000
25.19,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,9.5,1500
62.62,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,5.0,4500
43.18,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,4.0,4500
28.77,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,8.0,2500
18.63,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,5.5,2000
10.71,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,5.0,1000
13.38,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,1.5,2500
56.61,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,3.5,4500
137.57,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,17.0,5000
86.42,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,13.0,3500
20.73,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,14.5,2500
45.43,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,18.5,1500
